fiche.date_expedition;fiche_enqueteur.date;crabe.taille
2021-07-16;2021-07-21;99
2021-07-16;2021-07-21;100
2021-07-16;2021-07-21;100
2021-07-16;2021-07-21;101
2021-07-16;2021-07-21;101
2021-07-16;2021-07-21;101
2021-07-16;2021-07-21;102
2021-07-16;2021-07-21;103
2021-07-16;2021-07-21;103
2021-07-16;2021-07-21;103
2021-07-16;2021-07-21;103
2021-07-16;2021-07-21;104
2021-07-16;2021-07-21;104
2021-07-16;2021-07-21;105
2021-07-16;2021-07-21;106
2021-07-16;2021-07-21;107
2021-07-16;2021-07-21;108
2021-07-16;2021-07-21;108
2021-07-16;2021-07-21;109
2021-07-16;2021-07-21;109
2021-07-16;2021-07-21;110
2021-07-16;2021-07-21;111
2021-07-16;2021-07-21;112
2021-07-16;2021-07-21;112
2021-07-16;2021-07-21;113
2021-07-16;2021-07-21;113
2021-07-16;2021-07-21;114
2021-07-16;2021-07-21;115
2021-07-16;2021-07-21;116
2021-07-16;2021-07-21;117
2021-07-16;2021-07-21;119
2021-07-16;2021-07-21;119
2021-07-16;2021-07-21;120
2021-07-16;2021-07-21;120
2021-07-16;2021-07-21;125
2021-07-16;2021-07-21;128
2021-07-16;2021-07-21;129
2021-07-16;2021-07-21;129
2021-07-16;2021-07-21;130
2021-07-16;2021-07-21;133
2021-07-16;2021-07-21;134
2021-07-16;2021-07-21;140
2021-07-16;2021-07-21;140
2021-07-16;2021-07-21;144
2021-07-16;2021-07-21;145
2021-07-16;2021-07-21;155
2021-07-16;2021-07-21;160
2021-07-21;2021-06-28;99
2021-07-21;2021-06-28;100
2021-07-21;2021-06-28;100
2021-07-21;2021-06-28;102
2021-07-21;2021-06-28;103
2021-07-21;2021-06-28;108
2021-07-21;2021-06-28;111
2021-07-21;2021-06-28;113
2021-07-21;2021-06-28;113
2021-07-21;2021-06-28;114
2021-07-21;2021-06-28;115
2021-07-21;2021-06-28;117
2021-07-21;2021-06-28;119
2021-07-21;2021-06-28;121
2021-07-21;2021-06-28;126
2021-07-21;2021-06-28;129
2021-07-21;2021-06-28;132
2021-07-21;2021-06-28;133
2021-07-21;2021-06-28;150
2021-07-21;2021-06-28;151
2021-07-21;2021-06-28;155
2021-07-21;2021-06-28;160
2021-07-21;2021-06-29;50
2021-07-21;2021-06-29;80
2021-07-21;2021-06-29;80
2021-07-21;2021-06-29;80
2021-07-21;2021-06-29;80
2021-07-21;2021-06-29;82
2021-07-21;2021-06-29;87
2021-07-21;2021-06-29;89
2021-07-21;2021-06-29;89
2021-07-21;2021-06-29;90
2021-07-21;2021-06-29;90
2021-07-21;2021-06-29;90
2021-07-21;2021-06-29;90
2021-07-21;2021-06-29;91
2021-07-21;2021-06-29;91
2021-07-21;2021-06-29;91
2021-07-21;2021-06-29;94
2021-07-21;2021-06-29;100
2021-07-21;2021-06-29;100
2021-07-21;2021-06-29;100
2021-07-21;2021-06-29;100
2021-07-21;2021-06-29;101
2021-07-21;2021-06-29;101
2021-07-21;2021-06-29;102
2021-07-21;2021-06-29;102
2021-07-21;2021-06-29;103
2021-07-21;2021-06-29;103
2021-07-21;2021-06-29;103
2021-07-21;2021-06-29;103
2021-07-21;2021-06-29;103
2021-07-21;2021-06-29;104
2021-07-21;2021-06-29;107
2021-07-21;2021-06-29;108
2021-07-21;2021-06-29;109
2021-07-21;2021-06-29;111
2021-07-21;2021-06-29;112
2021-07-21;2021-06-29;112
2021-07-21;2021-06-29;113
2021-07-21;2021-06-29;114
2021-07-21;2021-06-29;114
2021-07-21;2021-06-29;114
2021-07-21;2021-06-29;115
2021-07-21;2021-06-29;115
2021-07-21;2021-06-29;115
2021-07-21;2021-06-29;116
2021-07-21;2021-06-29;117
2021-07-21;2021-06-29;117
2021-07-21;2021-06-29;117
2021-07-21;2021-06-29;117
2021-07-21;2021-06-29;118
2021-07-21;2021-06-29;118
2021-07-21;2021-06-29;118
2021-07-21;2021-06-29;119
2021-07-21;2021-06-29;119
2021-07-21;2021-06-29;120
2021-07-21;2021-06-29;120
2021-07-21;2021-06-29;120
2021-07-21;2021-06-29;123
2021-07-21;2021-06-29;125
2021-07-21;2021-06-29;128
2021-07-21;2021-06-29;129
2021-07-21;2021-06-29;130
2021-07-21;2021-06-29;132
2021-07-21;2021-06-29;133
2021-07-21;2021-06-29;133
2021-07-21;2021-06-29;139
2021-07-21;2021-06-29;139
2021-07-21;2021-06-29;139
2021-07-21;2021-06-29;140
2021-07-21;2021-06-29;140
2021-07-21;2021-06-29;140
2021-07-21;2021-06-29;150
2021-07-21;2021-06-29;150
2021-07-21;2021-06-29;150
2021-07-21;2021-06-29;155
2021-07-21;2021-06-29;160
2021-07-21;2021-06-29;160
2021-07-21;2021-06-30;99
2021-07-21;2021-06-30;100
2021-07-21;2021-06-30;100
2021-07-21;2021-06-30;100
2021-07-21;2021-06-30;100
2021-07-21;2021-06-30;101
2021-07-21;2021-06-30;101
2021-07-21;2021-06-30;102
