zone_corecrabe.nom,region.nom,district.nom,commune.nom,village.nom,fiche_enqueteur.capture_poids,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,crabe.sexe,crabe.taille
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-22,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-22,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-14,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-22,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-18,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-22,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-14,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-22,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-18,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-22,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-14,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,145
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,160
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,NO,88
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,NO,95
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-14,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-18,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-18,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,NO,104
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-14,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,106
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-18,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-14,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-14,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-18,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,5,2021-09-20,1,1,"Balance (Garigary, Kiriry)",7,Non renseigné,0,NO,112
