region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_capture;echantillon.trie;echantillon.taille_absente;echantillon.taille_absente_autre
Atsimo andrefana;Morombe;Befandefa;Antaniloba II;Ankotapike ;;2021-05-25;seul;0;9;2;17;7;2000;;;0;500;2021-05-25;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-05-24;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-05-23;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);1;Non renseigné;0;2021-05-22;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);1;Non renseigné;0;1;false;plus petit;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-03;2021-05-03;enfant;1;25;0;;15;2000;10;500;0;400;2021-05-03;1;0;Ligne au mouillage (Topitopy);30;Non renseigné;0;2021-05-02;1;0;Ligne au mouillage (Topitopy);30;Non renseigné;0;2021-05-01;1;1;Ligne au mouillage (Topitopy);30;Non renseigné;0;2021-04-30;0;0;Non renseigné;0;Non renseigné;0;3;false;plus petit;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-09;2021-05-01;seul;0;54;0;0;34;2000;20;500;0;400;2021-05-01;1;1;Balance (Garigary, Kiriry);18;Non renseigné;0;2021-04-30;1;1;Balance (Garigary, Kiriry);18;Non renseigné;0;2021-04-29;1;1;Balance (Garigary, Kiriry);18;Non renseigné;0;2021-04-28;0;0;Non renseigné;0;Non renseigné;0;3;false;plus gros;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-09;2021-05-01;seul;0;62;0;0;42;2000;20;500;0;400;2021-05-01;1;1;Balance (Garigary, Kiriry);17;Non renseigné;0;2021-04-30;1;1;Balance (Garigary, Kiriry);17;Non renseigné;0;2021-04-29;1;1;Balance (Garigary, Kiriry);17;Non renseigné;0;2021-04-28;1;1;Balance (Garigary, Kiriry);17;Non renseigné;0;4;false;plus gros;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-09;2021-05-08;seul;0;35;0;0;20;2000;15;500;0;400;2021-05-08;1;1;Balance (Garigary, Kiriry);13;Non renseigné;0;2021-05-07;1;1;Balance (Garigary, Kiriry);13;Non renseigné;0;2021-05-06;0;0;Non renseigné;0;Non renseigné;0;2021-05-05;0;0;Non renseigné;0;Non renseigné;0;2;false;plus gros;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-09;2021-05-08;seul;0;50;0;;28;2000;22;500;0;400;2021-05-08;1;1;Balance (Garigary, Kiriry);15;Non renseigné;0;2021-05-07;1;1;Balance (Garigary, Kiriry);15;Non renseigné;0;2021-05-06;1;1;Balance (Garigary, Kiriry);15;Non renseigné;0;2021-05-05;1;1;Balance (Garigary, Kiriry);15;Non renseigné;0;4;false;plus gros;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-12;2021-05-01;seul;0;30;0;0;18;2000;12;500;0;400;2021-05-01;1;1;Balance (Garigary, Kiriry);15;Non renseigné;0;2021-04-30;1;1;Balance (Garigary, Kiriry);15;Non renseigné;0;2021-04-29;1;1;Balance (Garigary, Kiriry);15;Non renseigné;0;2021-04-28;0;0;Non renseigné;0;Non renseigné;0;3;false;plus petit;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-12;2021-05-12;seul;0;20;0;0;15;2000;;;5;1000;2021-05-12;1;1;Balance (Garigary, Kiriry);18;Non renseigné;0;2021-05-11;1;1;Balance (Garigary, Kiriry);18;Non renseigné;0;2021-05-10;0;0;Non renseigné;0;Non renseigné;0;2021-05-09;0;0;Non renseigné;0;Non renseigné;0;2;false;plus petit;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-21;2021-05-18;seul;0;20;0;0;15;2000;;;5;500;2021-05-18;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-05-17;0;0;Non renseigné;0;Non renseigné;0;2021-05-16;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-05-15;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;3;false;plus petit;
Boeny;Soalala;Soalala;Anjiamaloto;Marotia;2021-05-22;2021-05-10;seul;0;18;0;0;10;2000;8;500;0;500;2021-05-10;1;1;Balance (Garigary, Kiriry);10;Non renseigné;0;2021-05-09;0;0;Non renseigné;0;Non renseigné;0;2021-05-08;1;1;Balance (Garigary, Kiriry);10;Non renseigné;0;2021-05-07;1;1;Balance (Garigary, Kiriry);10;Non renseigné;0;3;false;plus petit;
