zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;4.5;0.5;4;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;4.5;0.5;4;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;5.5;0.5;;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;7;0;;7;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;7.5;1;7;6.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-08;seul;0;9.5;1;7;8.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-09;seul;0;1.5;0;;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-09;seul;0;2;0;;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-09;seul;0;4;0;;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-09;seul;0;7.5;0;;7.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-10;seul;0;1.5;0;0;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-10;seul;0;5.5;0.5;4;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-11;seul;0;1.5;0;0;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-12;2021-08-11;seul;0;5.5;1;5;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-18;2021-08-08;seul;0;8;1;7;7;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-18;2021-08-11;seul;0;1.5;0;0;1.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-20;2021-08-08;seul;0;1.5;0.5;2;1;2500;;;0;0
