zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.collecte_poids1,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-22,0,12.2,0.2,12,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-22,0,20,1.5,18.5,3,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-23,0,4,0,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-23,0,4,1,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-23,0,16.5,0.5,16,3,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-23,0,19.5,1.5,18,4,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-23,0,26,2,24,4,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-24,0,2.5,0.5,2,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-24,0,4,1,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-24,0,12,2,10,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-24,0,14.5,0.5,14,4,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-25,0,2.5,0.5,2,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-25,0,3,0,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-25,0,3,0,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-25,0,3.5,0.5,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-25,0,4.2,0.2,4,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-03,2021-06-25,0,16,2,14,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-21,2021-07-19,0,4,0,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-21,2021-07-19,0,5,0,5,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-21,2021-07-20,0,3,0,3,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-07-21,2021-07-20,0,5,1,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Delta,Tsimandrafoza,Boringeny,2021-08-02,2021-07-20,0,4,1,3,1,false,plus gros,
