echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,echantillon.poids
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8
true,plus petit,,8.2
true,plus petit,,8.3
true,plus petit,,8.5
true,plus petit,,8.5
true,plus petit,,8.5
true,plus petit,,8.53
true,plus petit,,8.7
true,plus petit,,8.7
true,plus petit,,8.8
true,plus petit,,9
true,plus petit,,9
true,plus petit,,9
true,plus petit,,9
true,plus petit,,9
true,plus petit,,9
true,plus petit,,9
true,plus petit,,9.3
true,plus petit,,9.3
true,plus petit,,9.3
true,plus petit,,9.3
true,plus petit,,9.5
true,plus petit,,9.5
true,plus petit,,9.7
true,plus petit,,9.78
true,plus petit,,9.9
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10
true,plus petit,,10.1
true,plus petit,,10.3
true,plus petit,,10.3
true,plus petit,,10.3
true,plus petit,,10.3
true,plus petit,,10.55
true,plus petit,,10.85
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11
true,plus petit,,11.3
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12
true,plus petit,,12.5
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13
true,plus petit,,13.6
true,plus petit,,14
true,plus petit,,14
true,plus petit,,14.6
true,plus petit,,14.89
true,plus petit,,14.92
true,plus petit,,15
true,plus petit,,15
true,plus petit,,15
