village.nom;fiche.date_expedition;fiche_enqueteur.date;crabe.taille
Kaday;2021-08-11;2021-08-04;108
Kaday;2021-08-11;2021-08-04;108
Kaday;2021-08-11;2021-08-04;109
Kaday;2021-08-11;2021-08-04;109
Kaday;2021-08-11;2021-08-04;110
Kaday;2021-08-11;2021-08-04;110
Kaday;2021-08-11;2021-08-04;110
Kaday;2021-08-11;2021-08-04;112
Kaday;2021-08-11;2021-08-04;112
Kaday;2021-08-11;2021-08-04;113
Kaday;2021-08-11;2021-08-04;113
Kaday;2021-08-11;2021-08-04;114
Kaday;2021-08-11;2021-08-04;115
Kaday;2021-08-11;2021-08-04;115
Kaday;2021-08-11;2021-08-04;115
Kaday;2021-08-11;2021-08-04;117
Kaday;2021-08-11;2021-08-04;117
Kaday;2021-08-11;2021-08-04;118
Kaday;2021-08-11;2021-08-04;118
Kaday;2021-08-11;2021-08-04;119
Kaday;2021-08-11;2021-08-04;119
Kaday;2021-08-11;2021-08-04;120
Kaday;2021-08-11;2021-08-04;120
Kaday;2021-08-11;2021-08-04;130
Kaday;2021-08-11;2021-08-04;139
Kaday;2021-08-11;2021-08-04;140
Kaday;2021-08-11;2021-08-08;80
Kaday;2021-08-11;2021-08-08;81
Kaday;2021-08-11;2021-08-08;87
Kaday;2021-08-11;2021-08-08;90
Kaday;2021-08-11;2021-08-08;91
Kaday;2021-08-11;2021-08-08;92
Kaday;2021-08-11;2021-08-08;93
Kaday;2021-08-11;2021-08-08;98
Kaday;2021-08-11;2021-08-08;100
Kaday;2021-08-11;2021-08-08;100
Kaday;2021-08-11;2021-08-08;101
Kaday;2021-08-11;2021-08-08;102
Kaday;2021-08-11;2021-08-08;103
Kaday;2021-08-11;2021-08-08;104
Kaday;2021-08-11;2021-08-08;107
Kaday;2021-08-11;2021-08-08;108
Kaday;2021-08-11;2021-08-08;110
Kaday;2021-08-11;2021-08-08;111
Kaday;2021-08-11;2021-08-08;112
Kaday;2021-08-11;2021-08-08;114
Kaday;2021-08-11;2021-08-08;114
Kaday;2021-08-11;2021-08-08;115
Kaday;2021-08-11;2021-08-08;116
Kaday;2021-08-11;2021-08-08;117
