zone_corecrabe.nom,village.nom,fiche_acheteur.date,fiche_acheteur.collecte_poids1,nombre_sortie_vente
Mahajanga,Baly,2022-10-14,20,2
Mahajanga,Baly,2022-10-14,21,2
Mahajanga,Baly,2022-10-14,30,3
Mahajanga,Baly,2022-10-15,17,3
Mahajanga,Baly,2022-10-15,20,2
Mahajanga,Baly,2022-10-15,20,3
Mahajanga,Baly,2022-10-15,25,3
Mahajanga,Baly,2022-10-15,34,3
Mahajanga,Langany,2022-09-07,3,3
Mahajanga,Langany,2022-09-07,4,1
Mahajanga,Langany,2022-09-07,4,1
Mahajanga,Langany,2022-09-07,4,1
Mahajanga,Langany,2022-09-07,5,1
Mahajanga,Langany,2022-09-07,5,2
Mahajanga,Langany,2022-09-07,7,1
Mahajanga,Langany,2022-09-07,8,1
Mahajanga,Langany,2022-09-07,8,1
Mahajanga,Langany,2022-09-07,9,3
Mahajanga,Langany,2022-09-14,10,3
Mahajanga,Langany,2022-09-14,10,3
Mahajanga,Langany,2022-09-14,10,3
Mahajanga,Langany,2022-09-14,11,3
Mahajanga,Langany,2022-09-14,13,3
Mahajanga,Langany,2022-09-14,15,3
Mahajanga,Langany,2022-09-14,15,3
Mahajanga,Langany,2022-09-14,17,3
Mahajanga,Langany,2022-09-14,19,3
Mahajanga,Langany,2022-09-14,21,3
Mahajanga,Langany,2022-09-21,3,3
Mahajanga,Langany,2022-09-21,4,3
Mahajanga,Langany,2022-09-21,4,3
Mahajanga,Langany,2022-09-21,7,3
Mahajanga,Langany,2022-09-21,8,3
Mahajanga,Langany,2022-09-21,9,3
Mahajanga,Langany,2022-09-21,10,3
Mahajanga,Langany,2022-09-21,10,3
Mahajanga,Langany,2022-09-28,1,2
Mahajanga,Langany,2022-09-28,2,3
Mahajanga,Langany,2022-09-28,5,3
Mahajanga,Langany,2022-09-28,10,3
Mahajanga,Langany,2022-09-28,10,3
Mahajanga,Langany,2022-09-28,13,3
Mahajanga,Langany,2022-09-28,15,3
Mahajanga,Langany,2022-09-28,15,3
Mahajanga,Langany,2022-09-28,25,3
Mahajanga,Langany,2022-09-28,40,3
Mahajanga,Langany,2022-10-05,5,3
Mahajanga,Langany,2022-10-05,6,3
Mahajanga,Langany,2022-10-05,7,3
Mahajanga,Langany,2022-10-05,8,3
Mahajanga,Langany,2022-10-05,8,3
Mahajanga,Langany,2022-10-05,9,3
Mahajanga,Langany,2022-10-05,10,3
Mahajanga,Langany,2022-10-05,13,3
Mahajanga,Langany,2022-10-05,13,3
Mahajanga,Langany,2022-10-05,15,3
