zone_corecrabe.nom,village.nom,fiche.date_expedition,fiche_acheteur.date
Mahajanga,Sambiravo,,2022-08-12
Mahajanga,Sambiravo,,2022-08-12
Mahajanga,Sambiravo,,2022-08-12
Mahajanga,Sambiravo,,2022-08-12
Mahajanga,Sambiravo,,2022-08-12
Mahajanga,Sambiravo,,2022-08-14
Mahajanga,Sambiravo,,2022-08-14
Mahajanga,Sambiravo,,2022-08-14
Mahajanga,Sambiravo,,2022-08-14
Mahajanga,Sambiravo,,2022-08-14
Mahajanga,Sambiravo,,2022-08-17
Mahajanga,Sambiravo,,2022-08-17
Mahajanga,Sambiravo,,2022-08-17
Mahajanga,Sambiravo,,2022-08-17
Mahajanga,Sambiravo,,2022-08-17
Mahajanga,Sambiravo,,2022-08-18
Mahajanga,Sambiravo,,2022-08-18
Mahajanga,Sambiravo,,2022-08-18
Mahajanga,Sambiravo,,2022-08-18
Mahajanga,Sambiravo,,2022-08-19
Mahajanga,Sambiravo,,2022-08-19
Mahajanga,Sambiravo,,2022-08-19
Mahajanga,Sambiravo,,2022-08-19
Mahajanga,Sambiravo,,2022-08-19
Mahajanga,Sambiravo,,2022-08-19
Mahajanga,Sambiravo,,2022-08-20
Mahajanga,Sambiravo,,2022-08-20
Mahajanga,Sambiravo,,2022-08-20
Mahajanga,Sambiravo,,2022-08-20
Mahajanga,Sambiravo,,2022-08-20
Mahajanga,Sambiravo,,2022-08-26
Mahajanga,Sambiravo,,2022-08-26
Mahajanga,Sambiravo,,2022-08-26
Mahajanga,Sambiravo,,2022-08-26
Mahajanga,Sambiravo,,2022-08-26
Mahajanga,Sambiravo,,2022-08-27
Mahajanga,Sambiravo,,2022-08-27
Mahajanga,Sambiravo,,2022-08-27
Mahajanga,Sambiravo,,2022-08-27
Mahajanga,Sambiravo,,2022-08-27
Mahajanga,Sambiravo,,2022-08-28
Mahajanga,Sambiravo,,2022-08-28
Mahajanga,Sambiravo,,2022-08-28
Mahajanga,Sambiravo,,2022-08-28
