zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche_enqueteur.date;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;nombre_sortie_capture
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-17;2;0;0;1;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-17;2;0;0;2;4500;;;0;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-17;3;0;0;2;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-17;3;0;0;2;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-17;3;0;0;2;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-18;2.5;0.5;4;1;4500;;;1;3000;2022-02-18;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-18;3;0;0;1;4500;;;2;3000;2022-02-18;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-17;0;0;;0;;0;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-18;3;0;0;2;4500;;;1;3000;2022-02-18;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-18;3;0;0;2;4500;;;1;3000;2022-02-18;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-16;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-18;4;0;0;2;4500;;;2;3000;2022-02-18;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-16;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-18;4;0;0;3;4500;;;1;3000;2022-02-18;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-16;1;1;Balance_(Garigary,_Kiriry);4;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-19;3;0;0;2;4500;;;1;3000;2022-02-19;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-18;0;0;;0;;0;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-19;5;0;0;3;4500;;;2;3000;2022-02-19;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-18;0;0;;0;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);4;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-20;2.4;0.4;3;2;4500;;;0;3000;2022-02-20;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-19;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-18;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-20;3;0;0;1;4500;;;2;3000;2022-02-20;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-19;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-18;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-20;4.6;0.6;5;2;4500;;;2;3000;2022-02-20;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-02-19;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-02-18;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-03-01;1.1;0.1;1;1;4500;;;0;0;2022-03-01;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-28;0;0;;0;;0;2022-02-27;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-03-01;3;0;0;1;4500;;;2;3000;2022-03-01;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-28;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-27;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-03-01;3;0;0;2;4500;;;1;3000;2022-03-01;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-28;1;0;;0;;0;2022-02-27;1;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-03-02;1.4;0.4;3;1;4500;;;0;0;2022-03-02;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-03-01;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-02-28;1;1;Balance_(Garigary,_Kiriry);5;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-03-02;3;0;0;2;4500;;;1;3000;2022-03-02;1;1;Balance_(Garigary,_Kiriry);6;;0;2022-03-01;1;1;Balance_(Garigary,_Kiriry);6;;0;2022-02-28;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-03-02;3;0;0;2;4500;;;1;3000;2022-03-02;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2022-03-01;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2022-02-28;0;0;;0;;0;1
