village.nom;fiche.date_expedition;fiche_enqueteur.date
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-13
 Antsosa ;2021-09-22;2021-09-14
 Antsosa ;2021-09-22;2021-09-14
 Antsosa ;2021-09-22;2021-09-15
 Antsosa ;2021-09-22;2021-09-15
 Antsosa ;2021-09-22;2021-09-16
 Antsosa ;2021-09-22;2021-09-16
 Antsosa ;2021-09-22;2021-09-17
 Antsosa ;2021-09-22;2021-09-17
 Antsosa ;2021-09-22;2021-09-18
 Antsosa ;2021-09-22;2021-09-18
 Antsosa ;2021-09-22;2021-09-19
 Antsosa ;2021-09-22;2021-09-19
 Antsosa ;2021-09-22;2021-09-19
 Antsosa ;2021-09-22;2021-09-19
 Antsosa ;2021-09-22;2021-09-20
 Antsosa ;2021-09-22;2021-09-20
 Antsosa ;2021-09-22;2021-09-20
 Antsosa ;2021-09-22;2021-09-20
 Antsosa ;2021-09-22;2021-09-21
 Antsosa ;2021-09-22;2021-09-21
 Antsosa ;2021-09-22;2021-09-22
 Antsosa ;2021-09-22;2021-09-22
 Antsosa ;2021-09-22;2021-09-22
 Antsosa ;2021-09-22;2021-09-22
 Antsosa ;2021-09-29;2021-09-23
 Antsosa ;2021-09-29;2021-09-23
 Antsosa ;2021-09-29;2021-09-23
 Antsosa ;2021-09-29;2021-09-23
 Antsosa ;2021-09-29;2021-09-24
 Antsosa ;2021-09-29;2021-09-24
 Antsosa ;2021-09-29;2021-09-24
 Antsosa ;2021-09-29;2021-09-24
 Antsosa ;2021-09-29;2021-09-25
 Antsosa ;2021-09-29;2021-09-25
 Antsosa ;2021-09-29;2021-09-25
 Antsosa ;2021-09-29;2021-09-25
 Antsosa ;2021-09-29;2021-09-26
 Antsosa ;2021-09-29;2021-09-26
 Antsosa ;2021-10-16;2021-09-26
 Antsosa ;2021-10-16;2021-09-26
 Antsosa ;2021-10-16;2021-09-27
 Antsosa ;2021-10-16;2021-09-27
 Antsosa ;2021-10-16;2021-09-27
 Antsosa ;2021-10-16;2021-09-27
 Antsosa ;2021-10-16;2021-09-28
 Antsosa ;2021-10-16;2021-09-28
 Antsosa ;2021-10-16;2021-09-28
 Antsosa ;2021-10-16;2021-09-28
 Antsosa ;2021-10-16;2021-09-29
 Antsosa ;2021-10-16;2021-09-29
 Antsosa ;2021-10-16;2021-09-29
 Antsosa ;2021-10-16;2021-09-29
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-10-16;2021-09-30
 Antsosa ;2021-12-28;2021-12-17
 Antsosa ;2021-12-28;2021-12-17
 Antsosa ;2021-12-28;2021-12-17
 Antsosa ;2021-12-28;2021-12-17
 Antsosa ;2021-12-28;2021-12-18
 Antsosa ;2021-12-28;2021-12-18
 Antsosa ;2021-12-28;2021-12-18
 Antsosa ;2021-12-28;2021-12-18
 Antsosa ;2021-12-28;2021-12-18
 Antsosa ;2021-12-28;2021-12-18
 Antsosa ;2021-12-28;2021-12-20
 Antsosa ;2021-12-28;2021-12-20
 Antsosa ;2021-12-28;2021-12-20
 Antsosa ;2021-12-28;2021-12-20
 Antsosa ;2021-12-28;2021-12-20
 Antsosa ;2021-12-28;2021-12-20
 Antsosa ;2021-12-28;2021-12-27
 Antsosa ;2021-12-28;2021-12-27
 Antsosa ;2021-12-28;2021-12-27
 Antsosa ;2021-12-28;2021-12-27
 Antsosa ;2021-12-28;2021-12-27
 Antsosa ;2021-12-28;2021-12-27
 Antsosa ;2022-01-14;2022-01-03
 Antsosa ;2022-01-14;2022-01-03
 Antsosa ;2022-01-14;2022-01-03
 Antsosa ;2022-01-14;2022-01-03
 Antsosa ;2022-01-14;2022-01-04
 Antsosa ;2022-01-14;2022-01-04
 Antsosa ;2022-01-14;2022-01-04
 Antsosa ;2022-01-14;2022-01-04
 Antsosa ;2022-01-14;2022-01-05
 Antsosa ;2022-01-14;2022-01-05
 Antsosa ;2022-01-14;2022-01-05
 Antsosa ;2022-01-14;2022-01-05
 Antsosa ;2022-01-14;2022-01-06
 Antsosa ;2022-01-14;2022-01-06
 Antsosa ;2022-01-14;2022-01-06
 Antsosa ;2022-01-14;2022-01-06
 Antsosa ;2022-01-14;2022-01-07
 Antsosa ;2022-01-14;2022-01-07
 Antsosa ;2022-01-14;2022-01-10
 Antsosa ;2022-01-14;2022-01-10
 Antsosa ;2022-01-14;2022-01-10
 Antsosa ;2022-01-14;2022-01-10
 Antsosa ;2022-01-14;2022-01-11
 Antsosa ;2022-01-14;2022-01-11
 Antsosa ;2022-01-24;2022-01-12
 Antsosa ;2022-01-24;2022-01-12
 Antsosa ;2022-01-24;2022-01-12
 Antsosa ;2022-01-24;2022-01-12
 Antsosa ;2022-01-24;2022-01-13
 Antsosa ;2022-01-24;2022-01-13
 Antsosa ;2022-01-24;2022-01-14
 Antsosa ;2022-01-24;2022-01-14
 Antsosa ;2022-01-24;2022-01-17
 Antsosa ;2022-01-24;2022-01-17
 Antsosa ;2022-01-24;2022-01-17
 Antsosa ;2022-01-24;2022-01-17
 Antsosa ;2022-01-24;2022-01-18
 Antsosa ;2022-01-24;2022-01-18
 Antsosa ;2022-01-24;2022-01-18
 Antsosa ;2022-01-24;2022-01-18
 Antsosa ;2022-01-24;2022-01-19
 Antsosa ;2022-01-24;2022-01-19
 Antsosa ;2022-01-24;2022-01-19
 Antsosa ;2022-01-24;2022-01-19
 Antsosa ;2022-01-24;2022-01-20
 Antsosa ;2022-01-24;2022-01-20
 Antsosa ;2022-01-24;2022-01-21
 Antsosa ;2022-01-24;2022-01-21
 Antsosa ;2022-02-02;2022-01-22
 Antsosa ;2022-02-02;2022-01-22
 Antsosa ;2022-02-02;2022-01-22
 Antsosa ;2022-02-02;2022-01-22
 Antsosa ;2022-02-02;2022-01-23
 Antsosa ;2022-02-02;2022-01-23
 Antsosa ;2022-02-02;2022-01-23
 Antsosa ;2022-02-02;2022-01-23
 Antsosa ;2022-02-02;2022-01-24
 Antsosa ;2022-02-02;2022-01-24
 Antsosa ;2022-02-02;2022-01-24
 Antsosa ;2022-02-02;2022-01-24
 Antsosa ;2022-02-02;2022-01-28
 Antsosa ;2022-02-02;2022-01-28
 Antsosa ;2022-02-02;2022-01-28
 Antsosa ;2022-02-02;2022-01-28
 Antsosa ;2022-02-02;2022-01-29
 Antsosa ;2022-02-02;2022-01-29
 Antsosa ;2022-02-02;2022-01-30
 Antsosa ;2022-02-02;2022-01-30
 Antsosa ;2022-02-16;2022-02-01
 Antsosa ;2022-02-16;2022-02-01
 Antsosa ;2022-02-16;2022-02-01
 Antsosa ;2022-02-16;2022-02-01
 Antsosa ;2022-02-16;2022-02-01
 Antsosa ;2022-02-16;2022-02-01
 Antsosa ;2022-02-16;2022-02-02
 Antsosa ;2022-02-16;2022-02-02
 Antsosa ;2022-02-16;2022-02-02
 Antsosa ;2022-02-16;2022-02-02
 Antsosa ;2022-02-16;2022-02-02
 Antsosa ;2022-02-16;2022-02-02
 Antsosa ;2022-02-16;2022-02-03
 Antsosa ;2022-02-16;2022-02-03
 Antsosa ;2022-02-16;2022-02-04
 Antsosa ;2022-02-16;2022-02-04
 Antsosa ;2022-02-16;2022-02-07
 Antsosa ;2022-02-16;2022-02-07
 Antsosa ;2022-02-16;2022-02-07
 Antsosa ;2022-02-16;2022-02-07
 Antsosa ;2022-02-16;2022-02-08
 Antsosa ;2022-02-16;2022-02-08
 Antsosa ;2022-02-16;2022-02-09
 Antsosa ;2022-02-16;2022-02-09
 Antsosa ;2022-02-16;2022-02-09
 Antsosa ;2022-02-16;2022-02-09
 Antsosa ;2022-02-16;2022-02-10
 Antsosa ;2022-02-16;2022-02-10
 Antsosa ;2022-02-16;2022-02-11
 Antsosa ;2022-02-16;2022-02-11
 Antsosa ;2022-02-16;2022-02-11
 Antsosa ;2022-02-16;2022-02-11
 Antsosa ;2022-02-23;2022-02-14
 Antsosa ;2022-02-23;2022-02-14
 Antsosa ;2022-02-23;2022-02-14
 Antsosa ;2022-02-23;2022-02-14
 Antsosa ;2022-02-23;2022-02-15
 Antsosa ;2022-02-23;2022-02-15
 Antsosa ;2022-02-23;2022-02-16
 Antsosa ;2022-02-23;2022-02-16
 Antsosa ;2022-02-23;2022-02-16
 Antsosa ;2022-02-23;2022-02-16
 Antsosa ;2022-02-23;2022-02-17
 Antsosa ;2022-02-23;2022-02-17
 Antsosa ;2022-02-23;2022-02-19
 Antsosa ;2022-02-23;2022-02-19
 Antsosa ;2022-02-23;2022-02-19
 Antsosa ;2022-02-23;2022-02-19
 Antsosa ;2022-03-11;2022-03-02
 Antsosa ;2022-03-11;2022-03-02
 Antsosa ;2022-03-11;2022-03-02
 Antsosa ;2022-03-11;2022-03-02
 Antsosa ;2022-03-11;2022-03-03
 Antsosa ;2022-03-11;2022-03-03
 Antsosa ;2022-03-11;2022-03-03
 Antsosa ;2022-03-11;2022-03-03
 Antsosa ;2022-03-11;2022-03-03
 Antsosa ;2022-03-11;2022-03-04
 Antsosa ;2022-03-11;2022-03-04
 Antsosa ;2022-03-11;2022-03-04
 Antsosa ;2022-03-11;2022-03-04
 Antsosa ;2022-03-11;2022-03-05
 Antsosa ;2022-03-11;2022-03-05
 Antsosa ;2022-03-11;2022-03-05
 Antsosa ;2022-03-18;2022-03-07
 Antsosa ;2022-03-18;2022-03-07
 Antsosa ;2022-03-18;2022-03-07
 Antsosa ;2022-03-18;2022-03-07
 Antsosa ;2022-03-18;2022-03-09
 Antsosa ;2022-03-18;2022-03-09
 Antsosa ;2022-03-18;2022-03-09
 Antsosa ;2022-03-18;2022-03-09
 Antsosa ;2022-03-18;2022-03-10
 Antsosa ;2022-03-18;2022-03-10
 Antsosa ;2022-03-18;2022-03-10
 Antsosa ;2022-03-18;2022-03-10
 Antsosa ;2022-03-18;2022-03-11
 Antsosa ;2022-03-18;2022-03-11
 Antsosa ;2022-03-18;2022-03-11
 Antsosa ;2022-03-18;2022-03-11
 Antsosa ;2022-03-22;2022-03-13
 Antsosa ;2022-03-22;2022-03-13
 Antsosa ;2022-03-22;2022-03-15
 Antsosa ;2022-03-22;2022-03-15
