village.nom;fiche_acheteur.date;fiche_acheteur.collecte_poids1;fiche_acheteur.collecte_prix1;fiche_acheteur.collecte_poids2;fiche_acheteur.collecte_prix2;fiche_acheteur.marche_local_poids;fiche_acheteur.marche_local_prix;fiche_acheteur.crabe_non_vendu_poids;fiche_acheteur.crabe_non_vendu_nombre;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_vente
Ambohibe;2021-12-27;6;2500;3;1000;0;0;24;4;2021-12-27;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-26;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-25;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-24;0;0;;0;;0;1
Ambohibe;2021-12-27;7;2500;5;1000;0;0;30;5;2021-12-27;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-26;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-25;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-24;1;0;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2021-12-27;8;2500;4;1000;0;0;24;4;2021-12-27;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-25;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-24;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2
Ambohibe;2021-12-27;10;2500;;;0;0;1;2;2021-12-27;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-26;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-25;0;0;;0;;0;2021-12-24;0;0;;0;;0;2
Ambohibe;2021-12-27;16;2000;;;0;0;4;13;2021-12-27;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;0;0;;0;;0;2021-12-25;0;0;;0;;0;2021-12-24;0;0;;0;;0;1
Ambohibe;2021-12-27;18;2500;;;0;0;1;4;2021-12-27;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;0;0;;0;;0;2021-12-25;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-24;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;3
Ambohibe;2021-12-27;20;2500;6;1000;0;0;30;6;2021-12-27;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;1;0;Crochet_Vy_(Fingavitra,_Kavitry,_Fiavitry);0;Angady;1;2021-12-25;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-24;0;0;;0;;0;2
Ambohibe;2021-12-27;20;2500;;;0;0;2;8;2021-12-27;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-25;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-24;0;0;;0;;0;3
Ambohibe;2021-12-27;26;2500;;;0;0;3;9;2021-12-27;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-25;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-24;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;4
Ambohibe;2021-12-28;4;2500;4;1000;0;0;24;4;2021-12-28;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-27;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-26;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-25;0;0;;0;;0;2
Ambohibe;2021-12-28;5;2500;3;1000;0;0;18;3;2021-12-28;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-27;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-26;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-25;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2021-12-28;5;2500;3;2500;0;0;18;4;2021-12-28;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-27;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-25;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;1
Ambohibe;2021-12-28;8;2500;4;1000;0;0;24;4;2021-12-28;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2021-12-27;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-26;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-25;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2021-12-28;9;2500;;;0;0;3;12;2021-12-28;0;0;;0;;0;2021-12-27;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;0;0;;0;;0;2021-12-25;0;0;;0;;0;1
Ambohibe;2021-12-28;12;2500;;;0;0;1;4;2021-12-28;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-27;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-25;0;0;;0;;0;3
Ambohibe;2021-12-28;17;2000;;;0;0;2;8;2021-12-28;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-27;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;0;0;;0;;0;2021-12-25;0;0;;0;;0;2
Ambohibe;2021-12-28;20;2500;;;0;0;1;2;2021-12-28;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-27;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-26;0;0;;0;;0;2021-12-25;0;0;;0;;0;2
Ambohibe;2021-12-28;25;2500;;;0;0;2;8;2021-12-28;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-27;0;0;;0;;0;2021-12-26;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-25;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;3
Ambohibe;2022-01-03;4;2500;4;1000;0;0;24;4;2022-01-03;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2022-01-02;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2022-01-01;1;1;Balance_(Garigary,_Kiriry);20;;0;2021-12-31;0;0;;0;;0;1
Ambohibe;2022-01-03;4;2500;4;1000;0;0;24;4;2022-01-03;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2022-01-02;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2022-01-01;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-31;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;1
Ambohibe;2022-01-03;5;2500;5;1000;0;0;30;5;2022-01-03;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2022-01-02;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2022-01-01;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-31;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2022-01-03;6;2500;4;1000;0;0;24;4;2022-01-03;1;1;Balance_(Garigary,_Kiriry);20;;0;2022-01-02;1;1;Balance_(Garigary,_Kiriry);20;;0;2022-01-01;1;1;Balance_(Garigary,_Kiriry);20;;0;2021-12-31;1;1;Balance_(Garigary,_Kiriry);20;;0;1
