village.nom,fiche.date_expedition,fiche_enqueteur.date
Ampitsopitsoka,2022-07-31,2022-07-11
Ampitsopitsoka,2022-07-31,2022-07-11
Ampitsopitsoka,2022-07-31,2022-07-11
Ampitsopitsoka,2022-07-31,2022-07-12
Ampitsopitsoka,2022-07-31,2022-07-12
Ampitsopitsoka,2022-07-31,2022-07-12
Ampitsopitsoka,2022-07-31,2022-07-12
Ampitsopitsoka,2022-07-31,2022-07-13
Ampitsopitsoka,2022-07-31,2022-07-13
Ampitsopitsoka,2022-07-31,2022-07-13
Ampitsopitsoka,2022-07-31,2022-07-13
Ampitsopitsoka,2022-07-31,2022-07-13
Ampitsopitsoka,2022-07-31,2022-07-14
Ampitsopitsoka,2022-07-31,2022-07-14
Ampitsopitsoka,2022-07-31,2022-07-14
Ampitsopitsoka,2022-07-31,2022-07-14
Ampitsopitsoka,2022-07-31,2022-07-14
Ampitsopitsoka,2022-07-31,2022-07-18
Ampitsopitsoka,2022-07-31,2022-07-18
Ampitsopitsoka,2022-07-31,2022-07-18
Ampitsopitsoka,2022-07-31,2022-07-18
Ampitsopitsoka,2022-07-31,2022-07-18
Ampitsopitsoka,2022-07-31,2022-07-19
Ampitsopitsoka,2022-07-31,2022-07-19
Ampitsopitsoka,2022-07-31,2022-07-19
Ampitsopitsoka,2022-07-31,2022-07-19
Ampitsopitsoka,2022-07-31,2022-07-19
Ampitsopitsoka,2022-07-31,2022-07-20
Ampitsopitsoka,2022-07-31,2022-07-20
Ampitsopitsoka,2022-07-31,2022-07-20
Ampitsopitsoka,2022-07-31,2022-07-20
Ampitsopitsoka,2022-07-31,2022-07-20
Ampitsopitsoka,2022-07-31,2022-07-21
Ampitsopitsoka,2022-07-31,2022-07-21
Ampitsopitsoka,2022-07-31,2022-07-21
Ampitsopitsoka,2022-07-31,2022-07-21
Ampitsopitsoka,2022-07-31,2022-07-21
Ampitsopitsoka,2022-07-31,2022-07-25
Ampitsopitsoka,2022-07-31,2022-07-25
Ampitsopitsoka,2022-07-31,2022-07-25
Ampitsopitsoka,2022-07-31,2022-07-25
Ampitsopitsoka,2022-07-31,2022-07-25
Ampitsopitsoka,2022-07-31,2022-07-26
Ampitsopitsoka,2022-07-31,2022-07-26
Ampitsopitsoka,2022-07-31,2022-07-26
Ampitsopitsoka,2022-07-31,2022-07-26
Ampitsopitsoka,2022-07-31,2022-07-26
Ampitsopitsoka,2022-07-31,2022-07-27
Ampitsopitsoka,2022-07-31,2022-07-27
Ampitsopitsoka,2022-07-31,2022-07-27
Ampitsopitsoka,2022-07-31,2022-07-27
Ampitsopitsoka,2022-07-31,2022-07-28
Ampitsopitsoka,2022-07-31,2022-07-28
Ampitsopitsoka,2022-07-31,2022-07-28
Ampitsopitsoka,2022-07-31,2022-07-28
Ampitsopitsoka,2022-07-31,2022-07-28
Ampitsopitsoka,,2022-06-07
Ampitsopitsoka,,2022-06-07
Boringeny,2022-04-19,2022-06-07
Boringeny,2022-04-19,2022-06-07
Boringeny,2022-06-18,2022-06-02
